id	operation	left_hex	right_hex	precision	scale	rounding	outcome	expected_hex
decimal-098	round	312e32323531	-	8	2	truncate	value	312e3232
decimal-099	round	312e32333530	-	8	2	truncate	value	312e3233
decimal-100	round	2d312e32323439	-	8	2	truncate	value	2d312e3232
decimal-101	round	2d312e32323530	-	8	2	truncate	value	2d312e3232
decimal-102	round	2d312e32323531	-	8	2	truncate	value	2d312e3232
decimal-103	round	2d312e32333530	-	8	2	truncate	value	2d312e3233
decimal-104	round	392e39393939	-	8	2	truncate	value	392e3939
decimal-105	round	2d302e30303439	-	8	2	truncate	value	302e3030
decimal-106	round	302e30303030	-	8	2	truncate	value	302e3030
decimal-107	round	312e3233	-	10	4	half_up	value	312e32333030
decimal-108	round	392e3939	-	2	1	half_up	invalid_argument	-
